top10_5of5,top12_5of5,top15_5of5,top20_5of5,top25_5of5,top30_5of5,top40_5of5,top45_5of5,top10_3plus,top12_3plus,top15_3plus,top20_3plus,top25_3plus,top30_3plus,top40_3plus,top45_3plus,config
0,0,0,0,1,6,25,36,2,8,11,22,30,37,47,50,"PB(w150,d0.97,nl3,pw0.2)"
0,0,0,0,1,5,25,35,4,8,11,22,30,38,48,50,"PB(w150,d0.97,nl3,pw0.3)"
0,0,0,0,0,6,25,37,1,7,10,20,29,39,48,50,"PB(w150,d0.97,nl3,pw0.4)"
0,0,0,0,2,7,27,37,3,8,11,21,30,38,47,50,"PB(w150,d0.97,nl5,pw0.2)"
0,0,0,0,1,6,25,36,3,7,10,20,29,38,48,50,"PB(w150,d0.97,nl5,pw0.3)"
0,0,0,0,0,7,25,36,2,8,10,25,30,38,48,50,"PB(w150,d0.97,nl5,pw0.4)"
0,0,0,0,2,7,25,38,4,9,11,22,31,38,47,50,"PB(w150,d0.97,nl7,pw0.2)"
0,0,0,0,2,7,25,38,4,8,10,22,30,39,48,50,"PB(w150,d0.97,nl7,pw0.3)"
0,0,0,0,0,7,25,37,2,8,8,23,31,38,48,50,"PB(w150,d0.97,nl7,pw0.4)"
0,0,0,0,2,4,20,32,3,3,10,21,31,38,49,50,"PB(w200,d0.85,nl3,pw0.2)"
0,0,0,0,2,4,19,33,3,3,11,22,32,38,49,50,"PB(w200,d0.85,nl3,pw0.3)"
0,0,0,0,2,5,20,34,3,6,10,23,30,39,49,50,"PB(w200,d0.85,nl3,pw0.4)"
0,0,0,0,2,4,21,32,3,4,11,21,31,38,49,50,"PB(w200,d0.85,nl5,pw0.2)"
0,0,0,0,2,3,18,31,3,4,9,21,31,39,49,50,"PB(w200,d0.85,nl5,pw0.3)"
0,0,0,0,2,4,19,34,3,4,9,23,32,39,49,50,"PB(w200,d0.85,nl5,pw0.4)"
0,0,0,0,2,4,18,36,3,4,11,21,31,37,49,50,"PB(w200,d0.85,nl7,pw0.2)"
0,0,0,0,2,4,19,34,3,3,11,22,31,38,49,50,"PB(w200,d0.85,nl7,pw0.3)"
0,0,0,0,2,4,18,35,3,4,8,22,31,37,49,50,"PB(w200,d0.85,nl7,pw0.4)"
0,0,0,0,0,5,21,36,5,6,13,24,28,37,49,50,"PB(w200,d0.92,nl3,pw0.2)"
0,0,0,0,0,5,20,33,5,8,12,23,29,36,48,50,"PB(w200,d0.92,nl3,pw0.3)"
0,0,0,0,1,4,20,34,6,8,13,23,29,35,47,50,"PB(w200,d0.92,nl3,pw0.4)"
0,0,0,0,1,5,21,35,5,6,13,23,29,38,49,50,"PB(w200,d0.92,nl5,pw0.2)"
0,0,0,0,1,5,22,35,4,6,12,24,29,38,49,50,"PB(w200,d0.92,nl5,pw0.3)"
0,0,0,0,2,4,24,32,5,6,13,21,29,34,48,50,"PB(w200,d0.92,nl5,pw0.4)"
0,0,0,0,0,5,21,36,5,6,12,23,30,38,49,50,"PB(w200,d0.92,nl7,pw0.2)"
0,0,0,0,1,6,21,37,5,6,12,23,30,37,49,50,"PB(w200,d0.92,nl7,pw0.3)"
0,0,0,0,2,4,23,36,5,7,13,21,29,34,48,50,"PB(w200,d0.92,nl7,pw0.4)"
0,0,0,0,1,5,24,36,5,7,13,22,27,36,47,50,"PB(w200,d0.95,nl3,pw0.2)"
0,0,0,0,1,4,24,37,5,7,12,22,29,35,47,50,"PB(w200,d0.95,nl3,pw0.3)"
0,0,0,0,1,3,23,36,5,8,12,21,29,36,47,50,"PB(w200,d0.95,nl3,pw0.4)"
0,0,0,0,1,5,24,36,5,6,12,23,26,36,47,50,"PB(w200,d0.95,nl5,pw0.2)"
0,0,0,0,1,5,25,36,6,7,12,19,27,35,47,50,"PB(w200,d0.95,nl5,pw0.3)"
0,0,0,0,0,5,25,35,6,7,12,17,27,34,47,50,"PB(w200,d0.95,nl5,pw0.4)"
0,0,0,0,1,5,24,35,5,8,12,22,26,35,48,50,"PB(w200,d0.95,nl7,pw0.2)"
0,0,0,0,1,5,25,37,6,8,12,22,28,35,47,50,"PB(w200,d0.95,nl7,pw0.3)"
0,0,0,0,1,5,24,37,6,7,13,20,30,35,47,50,"PB(w200,d0.95,nl7,pw0.4)"
0,0,0,0,1,5,25,37,4,6,11,20,29,37,47,50,"PB(w200,d0.97,nl3,pw0.2)"
0,0,0,0,0,5,25,38,3,6,12,19,28,36,48,50,"PB(w200,d0.97,nl3,pw0.3)"
0,0,0,0,0,4,22,37,2,7,12,17,29,38,48,50,"PB(w200,d0.97,nl3,pw0.4)"
0,0,0,0,1,6,26,38,3,5,11,18,29,35,47,50,"PB(w200,d0.97,nl5,pw0.2)"
0,0,0,0,0,7,26,36,4,6,10,17,29,37,47,50,"PB(w200,d0.97,nl5,pw0.3)"
0,0,0,0,0,7,24,35,2,6,9,18,28,36,48,50,"PB(w200,d0.97,nl5,pw0.4)"
0,0,0,0,1,7,26,37,3,6,12,19,31,36,47,50,"PB(w200,d0.97,nl7,pw0.2)"
0,0,0,0,1,7,26,38,3,7,11,16,29,37,47,50,"PB(w200,d0.97,nl7,pw0.3)"
0,0,0,0,0,7,23,37,3,5,11,18,28,37,48,50,"PB(w200,d0.97,nl7,pw0.4)"
0,0,0,0,0,5,19,33,3,5,8,21,30,42,50,50,TripleCooc
